Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
10,0.000194,0.000218,0.000086,0.000062,0.000068,0.00015,0.000106,0.000102,0.000032,0.000073
16,0.000238,0.000161,0.000124,0.000057,0.000108,0.000157,0.000077,0.000082,0.000013,0.000155
22,0.000357,0.000341,0.000196,0.000131,0.00014,0.000179,0.000093,0.000095,0.000019,0.000117
28,0.000231,0.000325,0.000291,0.00008,0.00023,0.000261,0.000137,0.000124,0.000022,0.000174
34,0.000156,0.000127,0.000105,0.000107,0.00015,0.000335,0.000074,0.000127,0.000031,0.000271
40,0.000074,0.000104,0.00008,0.000026,0.000189,0.000469,0.000077,0.000137,0.000028,0.000374
46,0.000087,0.000103,0.000138,0.000035,0.000229,0.000692,0.000131,0.000106,0.000038,0.000361
52,0.000094,0.000154,0.000115,0.000073,0.000294,0.000774,0.000127,0.000046,0.000025,0.000437
58,0.000108,0.000217,0.000139,0.000037,0.000521,0.000693,0.000127,0.000049,0.000024,0.000545
64,0.000124,0.000162,0.000163,0.000137,0.000446,0.000277,0.000126,0.000051,0.000034,0.000665
70,0.000125,0.000138,0.0003,0.000042,0.000621,0.00031,0.000039,0.000051,0.000026,0.00085
76,0.000158,0.00017,0.000221,0.00004,0.000393,0.000293,0.000042,0.000058,0.000032,0.000289
82,0.000169,0.000269,0.000264,0.000147,0.000232,0.000661,0.000045,0.000076,0.000024,0.000435
88,0.000164,0.000191,0.000298,0.000105,0.000219,0.000602,0.000048,0.000062,0.000025,0.000271
94,0.000237,0.000209,0.000374,0.000093,0.000147,0.000696,0.000051,0.000065,0.000032,0.000245
100,0.000229,0.000199,0.000472,0.000062,0.00023,0.000796,0.000082,0.000067,0.00003,0.000289
106,0.000221,0.000142,0.000428,0.000077,0.000159,0.00087,0.000098,0.000098,0.000039,0.000306
112,0.000192,0.00013,0.000534,0.000077,0.000178,0.001004,0.000131,0.000088,0.000035,0.00035
118,0.000205,0.000135,0.000549,0.000087,0.000196,0.001081,0.000047,0.000075,0.000035,0.000393
124,0.000338,0.000142,0.001048,0.000122,0.000302,0.001263,0.000046,0.000084,0.000036,0.000451
130,0.000259,0.000137,0.002933,0.000151,0.000234,0.001306,0.000056,0.000084,0.00003,0.000502
136,0.000257,0.000198,0.003288,0.000193,0.000261,0.001447,0.000091,0.000065,0.000013,0.000545
142,0.000223,0.000176,0.004158,0.00017,0.000283,0.001651,0.0001,0.000063,0.000016,0.00059
148,0.000238,0.000185,0.003843,0.000104,0.000322,0.002844,0.000076,0.000066,0.00001,0.001246
154,0.000247,0.000171,0.004525,0.00011,0.000325,0.002687,0.000078,0.000073,0.000006,0.000708
160,0.000256,0.00017,0.004212,0.000207,0.000372,0.001297,0.000075,0.000069,0.000007,0.000727
166,0.000266,0.00018,0.004697,0.000121,0.000375,0.001315,0.000083,0.000072,0.000008,0.000825
172,0.000237,0.000185,0.0047,0.000233,0.000411,0.001422,0.000071,0.000081,0.000017,0.000844
178,0.000267,0.000185,0.004958,0.000121,0.000429,0.001521,0.000064,0.000077,0.000007,0.000913
184,0.000293,0.00019,0.005284,0.000124,0.000458,0.00167,0.00007,0.000114,0.000006,0.000968
190,0.00031,0.000203,0.005788,0.000131,0.000493,0.001795,0.000067,0.00008,0.000009,0.001168
196,0.000322,0.000206,0.006189,0.000138,0.000487,0.003294,0.000089,0.000081,0.00001,0.001213
202,0.000316,0.000214,0.006623,0.000147,0.000568,0.004223,0.000075,0.000082,0.000008,0.002907
208,0.00034,0.000217,0.007072,0.000146,0.000691,0.006596,0.000068,0.000085,0.000008,0.006944
214,0.000535,0.000222,0.007884,0.000161,0.000547,0.00471,0.000065,0.000085,0.000006,0.008448
220,0.000739,0.000237,0.010065,0.000159,0.000409,0.002837,0.000066,0.000092,0.000006,0.00355
226,0.000759,0.00024,0.01063,0.000169,0.000121,0.002552,0.000068,0.000091,0.000006,0.001706
232,0.000774,0.000248,0.009867,0.000175,0.000128,0.002684,0.000089,0.000095,0.000007,0.001966
238,0.000851,0.000257,0.009268,0.000186,0.000134,0.002843,0.000137,0.000098,0.000011,0.001357
244,0.000827,0.000264,0.009445,0.000831,0.000166,0.013883,0.000176,0.000128,0.000014,0.001398
250,0.000892,0.000277,0.009759,0.000747,0.000178,0.016845,0.000154,0.000105,0.000031,0.001309
256,0.000843,0.000376,0.01032,0.000711,0.000153,0.011887,0.000154,0.000158,0.000012,0.001372
262,0.000963,0.000359,0.011365,0.000772,0.000162,0.000362,0.000157,0.000217,0.000019,0.001302
268,0.00077,0.0003,0.011764,0.000719,0.000166,0.00037,0.000195,0.000212,0.000012,0.001204
274,0.000752,0.000302,0.012247,0.000647,0.000194,0.000387,0.000153,0.000135,0.000013,0.000647
280,0.000726,0.00031,0.013043,0.000636,0.000194,0.000403,0.000143,0.000112,0.000016,0.000666
286,0.000786,0.000599,0.012973,0.000679,0.000189,0.000421,0.000159,0.000117,0.000012,0.000698
292,0.000701,0.000922,0.014042,0.000695,0.000196,0.000477,0.0002,0.0002,0.00001,0.000707
298,0.000863,0.000903,0.013999,0.000694,0.000207,0.000462,0.000151,0.000221,0.000008,0.000756
